trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
17,13.72,0,1,0,12.1,0,1,62.0,-4.7,1.0,0
82,0.33,0,1,0,12.1,0,1,64.0,-4.7,1.0,0
32,7.3,1,1,1,13.9,0,1,22.0,-2.9,1.0,0
102,9.55,0,1,0,13.8,0,1,64.0,-3.0,1.0,0
71,14.13,0,1,0,13.9,0,1,75.0,-2.9,1.0,0
72,9.58,0,1,0,13.8,0,1,66.0,-3.0,1.0,0
34,9.49,0,1,0,15.7,0,1,64.0,-1.1,1.0,0
75,3.76,0,1,0,14.1,0,1,52.0,-2.7,0.0,0
13,4.9,1,0,0,14.3,0,1,36.0,-2.5,0.0,0
73,10.06,0,1,0,15.5,0,1,61.0,-1.3,0.0,0
35,5.59,0,1,0,14.6,0,1,59.0,-2.2,0.0,0
72,11.34,0,1,0,15.5,0,0,70.0,-1.3,0.0,0
89,8.95,0,1,1,13.8,0,1,47.0,-3.0,0.0,0
32,4.38,0,1,0,14.3,0,0,46.0,-2.5,0.0,0
72,7.48,0,1,0,13.0,0,0,61.0,-3.8,0.0,0
72,8.67,0,1,0,14.4,0,1,75.0,-2.4,0.0,0
86,10.08,0,1,1,14.7,0,1,59.0,-2.1,0.0,0
111,13.44,0,1,0,13.4,0,0,64.0,-3.4,0.0,0
103,14.22,0,1,0,12.5,0,0,68.0,-4.3,0.0,0
72,14.19,0,1,0,13.3,0,0,76.0,-3.5,0.0,0
103,9.66,0,1,0,12.5,0,1,65.0,-4.3,1.0,0
73,12.72,0,1,0,13.6,0,0,82.0,-3.2,0.0,0
100,10.17,0,1,0,13.9,0,1,74.0,-2.9,0.0,0
72,13.22,0,1,0,12.9,0,0,83.0,-3.9,0.0,0
72,10.33,0,1,0,13.5,0,1,56.0,-3.3,0.0,0
104,9.54,0,1,0,13.4,0,1,79.0,-3.4,0.0,0
98,12.78,0,1,0,13.4,0,0,74.0,-3.4,0.0,0
19,11.16,0,1,0,14.2,0,0,56.0,-2.6,0.0,0
71,5.12,0,1,0,12.7,0,0,67.0,-4.1,0.0,0
100,10.51,0,1,0,13.1,0,1,79.0,-3.7,0.0,0
71,12.33,0,1,0,13.1,0,0,67.0,-3.7,0.0,0
101,10.86,0,1,0,13.8,0,1,78.0,-3.0,0.0,0
75,15.69,0,1,0,14.0,0,0,58.0,-2.8,0.0,0
102,10.95,0,1,0,13.6,0,0,77.0,-3.2,0.0,0
73,13.24,0,1,0,13.9,0,0,78.0,-2.9,0.0,0
100,10.24,0,1,0,13.1,0,1,72.0,-3.7,1.0,0
71,13.67,0,1,0,14.2,0,0,85.0,-2.6,0.0,0
71,9.66,0,1,0,14.6,0,1,62.0,-2.2,1.0,0
34,12.47,0,1,0,15.0,0,1,64.0,-1.8,0.0,0
69,4.97,0,1,0,14.8,0,1,86.0,-2.0,0.0,0
125,12.83,0,0,1,12.2,0,1,53.0,-4.6,1.0,0
111,11.87,0,0,1,12.2,0,0,56.0,-4.6,1.0,0
83,10.71,0,1,0,12.4,0,0,66.0,-4.4,1.0,0
85,10.37,0,0,1,13.2,0,0,53.0,-3.6,1.0,0
17,6.35,0,1,0,12.5,0,0,53.0,-4.3,1.0,0
74,6.38,0,1,0,13.4,0,0,74.0,-3.4,0.0,0
103,11.35,0,1,0,12.4,0,0,70.0,-4.4,1.0,0
72,13.2,0,1,0,14.0,0,0,76.0,-2.8,0.0,0
72,8.93,0,1,0,14.2,0,1,77.0,-2.6,0.0,0
49,7.26,0,1,1,13.9,0,0,68.0,-2.9,0.0,0
22,12.96,1,0,0,12.2,0,0,32.0,-4.6,0.0,0
100,2.79,0,1,1,14.6,0,0,53.0,-2.2,0.0,0
